carr_way_no,road_id,start_name,end_name,location,latitude,longitude,cway_width,Shape__Length,traff_manage_level__0,traff_manage_level__1,traff_manage_level__2,traff_manage_level__3,traff_manage_level__4,traff_manage_level__5,traff_manage_level__6,traff_manage_level__7,count_Dayofyear,count_Week,count_Year,count_Month,count_Is_month_end,count_Is_month_start,count_Is_quarter_end,count_Is_quarter_start,count_Is_year_end,count_Is_year_start,count_Elapsed,adt,predicted_adt,rmse
2955,2472,3507,3557,522,-36.86717477110368,174.63727598659835,12.0,545.897807658443,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,13107.0,19013.68,5906.68
3110,2472,2679,4095,1913,-36.852827832189284,174.63576975756504,11.6,268.39434273695,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,14694.0,17079.07,2385.0699999999997
640,587,4007,2266,141,-36.637388368245865,174.74756785913345,7.2,278.90056788198603,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,4450.0,3856.6595079365084,593.3404920634916
138,3254,472,3720,92,-37.20346659149529,174.7541149823614,10.0,1318.55717656386,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,8003.0,8813.536666666667,810.5366666666669
140,3252,1292,4494,3570,-37.19486506132028,174.75918856055722,10.3,1139.04637750536,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,9571.0,10763.853333333333,1192.8533333333326
91,3252,1077,1453,3497,-37.18530726105673,174.77516573959304,10.6,235.62931666256802,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,8747.0,10260.89,1513.8899999999994
2958,2472,727,3704,1988,-36.85236067746367,174.63434658112618,11.6,159.035843943181,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,14741.0,16755.54611111111,2014.5461111111108
6009,3252,1294,3061,3298,-37.16891803413819,174.80285947397175,10.0,436.989148930184,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,9377.0,10811.303333333333,1434.3033333333333
2988,2493,3509,3405,166,-36.86553783568265,174.6012986236792,7.4,285.9929516666749,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,963.0,2722.656647698965,1759.6566476989651
4402,2170,251,398,617,-36.901441760406996,174.83771096711698,9.2,284.69891959561403,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,6220.0,5287.155747474748,932.8442525252522
1589,615,908,943,2618,-36.623434359085024,174.72036980460683,10.5,340.070630509816,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,27291.0,23992.41,3298.59
1591,615,452,4541,2844,-36.62722368036424,174.72760007212918,11.4,496.552326249601,0,0,1,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,25388.0,24887.503333333334,500.496666666666
1593,615,1723,4566,3130,-36.635067856490075,174.74353384793068,13.0,567.488670527615,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,22672.0,17629.183333333334,5042.816666666666
3173,2328,1932,3271,1690,-36.86259128524657,174.61389054672898,12.0,93.47804516690468,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,23553.0,21088.077777777777,2464.9222222222234
5947,3383,3777,3329,630,-37.20262481617361,174.7476504732996,7.0,1149.34187024442,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,1833.0,2342.4150442311307,509.41504423113065
5935,3374,3919,1924,913,-37.212396962648896,174.89686147254127,9.9,205.367592528246,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,2016.0,4357.883333333333,2341.883333333333
106,3265,1822,3494,473,-37.155412797497654,174.80665996529711,6.1,757.5128073360838,0,1,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,258.0,292.49057142857146,34.49057142857146
282,3288,4064,3819,765,-37.21277775960999,174.73817077442237,7.0,640.097983602368,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,1891.0,2241.8988487415363,350.8988487415363
2532,2328,2947,174,2349,-36.8638688165011,174.60140961853511,11.0,120.029007338787,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,12478.0,17145.92,4667.919999999998
284,3289,2920,1507,2160,-37.22007175521215,174.7508480217921,5.0,2135.3594987348897,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,872.0,790.2083333333334,81.79166666666663
236,3273,2727,1508,2241,-37.17029371004632,174.80721701346317,6.9,1110.53071376044,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,2690.0,2696.4767054704776,6.476705470477555
3155,2371,1972,3703,212,-36.85473034817814,174.63244539300845,10.0,249.51791705332695,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,2414.0,4817.646592592592,2403.6465925925922
2577,2222,517,4275,321,-36.87509998237967,174.6305564837679,12.6,204.315508107066,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,14804.0,18159.116666666665,3355.116666666665
2563,2217,52,3696,329,-36.880665262434476,174.6289581414238,12.8,79.1056885166207,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,19156.0,19653.406666666666,497.40666666666584
61,3310,2216,3693,51,-37.18564496364976,174.76220766854007,5.1,732.6689774759219,0,1,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,322.0,328.2552380952381,6.255238095238099
266,3307,2143,1453,1780,-37.19505713472125,174.78430573979378,5.7,758.937982185084,0,1,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,262.0,274.213432748538,12.213432748538025
3128,2217,543,1640,2784,-36.897637586171726,174.59510087333663,6.0,482.047892931364,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,3325.0,3465.8299920634927,140.82999206349268
2562,2217,4104,1436,1231,-36.88866215096939,174.6268501376449,12.9,476.481959886373,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,15301.0,20641.266666666666,5340.266666666666
3158,2356,459,1425,408,-36.840331910542105,174.61024892752397,10.6,194.044835540303,1,0,0,0,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,1989.0,7964.803333333333,5975.803333333333
2571,2217,769,3735,1714,-36.89245242431289,174.62124107760016,12.9,309.228144538324,0,0,0,1,0,0,0,0,40,6,2018,2,False,False,False,False,False,False,1518134400,16436.0,19040.916666666668,2604.916666666668
2689,2282,1967,4517,291,-36.80039154571714,174.647151047001,6.0,180.92988959665,1,0,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,1962.0,2689.2269294965513,727.2269294965513
2827,2369,2122,4222,115,-36.81706734351237,174.63994106018018,11.0,247.78944051366,1,0,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,854.0,5900.723333333333,5046.723333333333
584,616,3129,452,1146,-36.29187440393022,174.54380475976998,6.0,1629.99995224875,1,0,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,1332.0,1431.5557777777778,99.55577777777785
582,616,3939,4089,2616,-36.282064530636774,174.56820633774396,6.0,493.57071360948,1,0,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,1423.0,1768.1217208462333,345.1217208462333
824,449,2650,3799,1661,-36.231920534126274,174.7030720159203,4.0,3686.69967320872,0,1,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,52.0,199.27222222222224,147.27222222222224
580,617,3116,2980,3300,-36.31372116754907,174.42210139538258,7.0,4069.628245133929,0,1,0,0,0,0,0,0,41,6,2018,2,False,False,False,False,False,False,1518220800,416.0,430.3466666666667,14.346666666666692
4038,1813,1544,4242,206,-36.92134374218958,174.75910236525868,9.3,399.775677682276,1,0,0,0,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,3343.0,2366.5044047113565,976.4955952886435
4128,2130,2705,1722,586,-36.91613222243656,174.72294972986577,11.3,63.612712913377706,0,0,0,1,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,14979.0,14863.668111111112,115.33188888888799
4105,1762,2237,925,174,-36.9171268245797,174.75535724945746,12.5,406.650611856987,1,0,0,0,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,7302.0,7935.946666666667,633.9466666666667
5648,1545,1829,282,2182,-36.88888953437104,174.76011895518127,14.0,197.00456691417702,0,0,0,1,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,18424.0,19333.848856902354,909.8488569023539
4059,2143,568,1398,93,-36.91249653069103,174.7521306574424,9.3,192.38102223815895,0,1,0,0,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,1258.0,1454.2933333333333,196.2933333333333
4104,2066,3315,1301,680,-36.902478062448566,174.72969078335794,12.5,221.507589832153,0,0,0,1,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,16360.0,19989.102296296296,3629.102296296296
4062,1835,753,2705,1085,-36.899966352688224,174.75528946461057,9.3,249.74656993135704,1,0,0,0,0,0,0,0,44,7,2018,2,False,False,False,False,False,False,1518480000,4846.0,4638.810535098888,207.18946490111193
